11:26:10.687 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Successful login with valid credentials
11:26:16.397 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (1c38cb2f21ce680f57a1fbd50e48791c)] -> id: user-name]
11:26:16.495 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (1c38cb2f21ce680f57a1fbd50e48791c)] -> id: password]
11:26:26.656 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: login-button'
11:26:26.692 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Products' from element: [[ChromeDriver: chrome on windows (1c38cb2f21ce680f57a1fbd50e48791c)] -> xpath: //span[@data-test='title']]
11:26:26.695 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Successful login with valid credentials
11:26:26.974 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid username
11:26:28.363 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (b527275b65fc8b9e4ac575957d6981f6)] -> id: user-name]
11:26:28.468 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (b527275b65fc8b9e4ac575957d6981f6)] -> id: password]
11:26:28.552 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (b527275b65fc8b9e4ac575957d6981f6)] -> id: login-button]
11:26:28.576 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
11:26:28.607 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (b527275b65fc8b9e4ac575957d6981f6)] -> xpath: //h3]
11:26:28.607 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid username
11:26:28.791 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid password
11:26:51.082 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (9fa3a27245b248b970aa38699c5e3e69)] -> id: user-name]
11:26:51.167 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (9fa3a27245b248b970aa38699c5e3e69)] -> id: password]
11:26:51.237 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (9fa3a27245b248b970aa38699c5e3e69)] -> id: login-button]
11:26:51.261 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
11:26:51.290 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (9fa3a27245b248b970aa38699c5e3e69)] -> xpath: //h3]
11:26:51.290 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid password
11:26:51.495 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid credentials
11:26:52.651 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (d95ce827ea6dc948cc0bf06f6958daa6)] -> id: user-name]
11:26:52.765 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (d95ce827ea6dc948cc0bf06f6958daa6)] -> id: password]
11:26:52.848 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (d95ce827ea6dc948cc0bf06f6958daa6)] -> id: login-button]
11:26:52.874 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
11:26:52.904 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (d95ce827ea6dc948cc0bf06f6958daa6)] -> xpath: //h3]
11:26:52.905 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid credentials
11:29:50.080 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Successful login with valid credentials
11:29:52.027 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (80bbaaf36e86e933279d768f7f4b588d)] -> id: user-name]
11:29:52.116 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (80bbaaf36e86e933279d768f7f4b588d)] -> id: password]
11:30:02.273 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: login-button'
11:30:02.307 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Products' from element: [[ChromeDriver: chrome on windows (80bbaaf36e86e933279d768f7f4b588d)] -> xpath: //span[@data-test='title']]
11:30:02.310 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Successful login with valid credentials
11:30:02.560 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid username
11:30:24.901 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (dc8de93473d35d5a58cbbb4dd50c63f8)] -> id: user-name]
11:30:24.986 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (dc8de93473d35d5a58cbbb4dd50c63f8)] -> id: password]
11:30:25.062 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (dc8de93473d35d5a58cbbb4dd50c63f8)] -> id: login-button]
11:30:25.089 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
11:30:25.119 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (dc8de93473d35d5a58cbbb4dd50c63f8)] -> xpath: //h3]
11:30:25.120 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid username
11:30:25.302 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid password
11:30:26.703 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (8f5c81581382cba77bd5ce5230bc2da7)] -> id: user-name]
11:30:26.800 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (8f5c81581382cba77bd5ce5230bc2da7)] -> id: password]
11:30:26.886 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (8f5c81581382cba77bd5ce5230bc2da7)] -> id: login-button]
11:30:26.908 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
11:30:26.935 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (8f5c81581382cba77bd5ce5230bc2da7)] -> xpath: //h3]
11:30:26.935 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid password
11:30:27.075 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid credentials
11:30:28.418 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (76c0a9ce8cc6c52199c8ac47b96d2591)] -> id: user-name]
11:30:28.509 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (76c0a9ce8cc6c52199c8ac47b96d2591)] -> id: password]
11:30:28.602 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (76c0a9ce8cc6c52199c8ac47b96d2591)] -> id: login-button]
11:30:28.628 [TestNG-tests-1] INFO  utils.LoggerUtilities - Element displayed status: true
11:30:28.662 [TestNG-tests-1] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (76c0a9ce8cc6c52199c8ac47b96d2591)] -> xpath: //h3]
11:30:28.663 [TestNG-tests-1] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid credentials
11:30:31.860 [main] INFO  utils.LoggerUtilities - Starting scenario: Successful login with valid credentials
11:30:33.751 [main] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (2bc22d660b68cb10ea777b5c03a6312b)] -> id: user-name]
11:30:33.855 [main] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (2bc22d660b68cb10ea777b5c03a6312b)] -> id: password]
11:30:44.018 [main] INFO  utils.LoggerUtilities - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: login-button'
11:30:44.051 [main] INFO  utils.LoggerUtilities - Retrieved text 'Products' from element: [[ChromeDriver: chrome on windows (2bc22d660b68cb10ea777b5c03a6312b)] -> xpath: //span[@data-test='title']]
11:30:44.054 [main] INFO  utils.LoggerUtilities - Completed scenario: Successful login with valid credentials
11:30:44.299 [main] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid username
11:31:06.690 [main] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (a07fd1fd094a064f1d6911ade59892ad)] -> id: user-name]
11:31:06.791 [main] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (a07fd1fd094a064f1d6911ade59892ad)] -> id: password]
11:31:06.860 [main] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (a07fd1fd094a064f1d6911ade59892ad)] -> id: login-button]
11:31:06.883 [main] INFO  utils.LoggerUtilities - Element displayed status: true
11:31:06.913 [main] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (a07fd1fd094a064f1d6911ade59892ad)] -> xpath: //h3]
11:31:06.913 [main] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid username
11:31:07.100 [main] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid password
11:31:08.334 [main] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (a215d1ad3c849f1c6e1c76f1eee4626d)] -> id: user-name]
11:31:08.426 [main] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (a215d1ad3c849f1c6e1c76f1eee4626d)] -> id: password]
11:31:08.505 [main] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (a215d1ad3c849f1c6e1c76f1eee4626d)] -> id: login-button]
11:31:08.529 [main] INFO  utils.LoggerUtilities - Element displayed status: true
11:31:08.558 [main] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (a215d1ad3c849f1c6e1c76f1eee4626d)] -> xpath: //h3]
11:31:08.559 [main] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid password
11:31:08.732 [main] INFO  utils.LoggerUtilities - Starting scenario: Failed login with invalid credentials
11:31:10.103 [main] INFO  utils.LoggerUtilities - Typed 'standard' into element: [[ChromeDriver: chrome on windows (23e66bacb6d2c8f67c2f7bdb028ed8c0)] -> id: user-name]
11:31:10.211 [main] INFO  utils.LoggerUtilities - Typed 'secret' into element: [[ChromeDriver: chrome on windows (23e66bacb6d2c8f67c2f7bdb028ed8c0)] -> id: password]
11:31:10.293 [main] INFO  utils.LoggerUtilities - Clicked on element: [[ChromeDriver: chrome on windows (23e66bacb6d2c8f67c2f7bdb028ed8c0)] -> id: login-button]
11:31:10.317 [main] INFO  utils.LoggerUtilities - Element displayed status: true
11:31:10.346 [main] INFO  utils.LoggerUtilities - Retrieved text 'Epic sadface: Username and password do not match any user in this service' from element: [[ChromeDriver: chrome on windows (23e66bacb6d2c8f67c2f7bdb028ed8c0)] -> xpath: //h3]
11:31:10.346 [main] INFO  utils.LoggerUtilities - Completed scenario: Failed login with invalid credentials
12:42:26.220 [TestNG-tests-1] INFO  utils.LoggerUtilities - Starting scenario: Successful login with valid credentials
12:42:50.707 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'standard_user' into element: [[ChromeDriver: chrome on windows (60d8b108f66bf31407abef4c838f5f5f)] -> id: user-name]
12:42:50.800 [TestNG-tests-1] INFO  utils.LoggerUtilities - Typed 'secret_sauce' into element: [[ChromeDriver: chrome on windows (60d8b108f66bf31407abef4c838f5f5f)] -> id: password]
12:43:00.947 [TestNG-tests-1] INFO  utils.LoggerUtilities - Clicked on element: Proxy element for: DefaultElementLocator 'By.id: login-button'
